channelName,subscriberCount,averageViews,averageLikes,country,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,subs_tier,engagement_rate
HaerteTest,19500000,1913739.8149171271,46.84,DE,Lifestyle (sociology),,,,,,,,,Celebrity,0.00024020512820512822
Pencilmation,20100000,6317499.548300054,506.38,US,Television program,Film,Entertainment,Lifestyle (sociology),,,,,,Celebrity,0.0025193034825870646
Romeo Santos,22700000,385107315.1964286,113231.32,US,Music,Music of Latin America,Pop music,,,,,,,Celebrity,0.49881638766519826
Mnet K-POP,21800000,431682.40717636247,7220.42,,Television program,Pop music,Music of Asia,Music,Entertainment,,,,,Celebrity,0.033121192660550455
Pentatonix,20500000,20458828.46749226,35276.62,,Christian music,Entertainment,Pop music,Music,,,,,,Celebrity,0.17208107317073174
Marvel Entertainment,21500000,686061.5077475628,8826.86,US,Television program,Entertainment,Film,,,,,,,Celebrity,0.04105516279069767
Fatos Desconhecidos,22600000,556519.0169175271,8907.14,BR,Knowledge,Society,,,,,,,,Celebrity,0.03941212389380531
Deddy Corbuzier,24500000,3687761.347981604,49852.58,ID,Film,Entertainment,,,,,,,,Celebrity,0.20347991836734694
Got Talent Global,21200000,1666943.6137052758,1085.26,,Performing arts,Television program,Entertainment,Pop music,,,,,,Celebrity,0.005119150943396226
Infinite,24600000,3574141.4169550175,61490.56,US,Film,Entertainment,Lifestyle (sociology),,,,,,,Celebrity,0.24996162601626015
Kurzgesagt – In a Nutshell,24300000,11552621.342560554,241842.48,DE,Knowledge,,,,,,,,,Celebrity,0.9952365432098765
invictor,30100000,3789761.8540712018,30580.32,ES,Action game,Action-adventure game,Video game culture,Role-playing video game,,,,,,Celebrity,0.10159574750830565
Gordon Ramsay,21500000,2299669.370139969,32427.32,,Entertainment,Television program,Food,Lifestyle (sociology),,,,,,Celebrity,0.15082474418604652
Robin Hood Gamer,22100000,2548431.6642591376,10548.68,BR,Action-adventure game,Video game culture,Role-playing video game,Action game,,,,,,Celebrity,0.04773158371040724
NBA,23200000,230960.4000548475,1138.18,US,Basketball,Sport,,,,,,,,Celebrity,0.004905948275862069
Troom Troom Es,20700000,2292646.6618118263,1842.2,,Lifestyle (sociology),Entertainment,Pet,,,,,,,Celebrity,0.00889951690821256
Alejo Igoa,67100000,19835496.127062704,403858.02,AR,Hobby,Lifestyle (sociology),,,,,,,,Celebrity,0.6018748435171386
DLS News,22600000,494700.7346908878,12390.58,IN,Society,Lifestyle (sociology),,,,,,,,Celebrity,0.05482557522123894
Green Gold TV - Official Channel,21900000,3967663.561532793,577.26,IN,Humour,Television program,Film,Entertainment,,,,,,Celebrity,0.002635890410958904
Jimmy Kimmel Live,20600000,1737126.5693009526,14934.72,US,Politics,Entertainment,Television program,Film,Society,,,,,Celebrity,0.07249864077669903
NichLmao,37400000,14198194.829562595,57108.06,US,Entertainment,Film,,,,,,,,Celebrity,0.1526953475935829
Official Pink Panther,22200000,14145725.950331124,1389.72,,Entertainment,Film,Television program,,,,,,,Celebrity,0.00626
CookieSwirlC,21400000,5598654.382882883,2537.7,US,Lifestyle (sociology),Action-adventure game,Video game culture,Role-playing video game,Hobby,Simulation video game,,,,Celebrity,0.01185841121495327
MiawAug,24100000,1712463.018783542,19948.7,ID,Action-adventure game,Video game culture,Action game,Role-playing video game,,,,,,Celebrity,0.0827746887966805
TheWillyrex,18300000,972288.4132487858,11692.18,ES,Action-adventure game,Video game culture,Role-playing video game,Action game,,,,,,Celebrity,0.06389169398907103
ElTrollino,22300000,4288556.618379069,319679.26,ES,Role-playing video game,Video game culture,Action-adventure game,Action game,,,,,,Celebrity,1.4335392825112108
TheOdd1sOut,20500000,30727125.5625,633812.44,US,Humour,Entertainment,Film,Lifestyle (sociology),,,,,,Celebrity,3.0917679999999996
HiMan,19500000,7726360.676470588,32893.74,RU,Lifestyle (sociology),Food,,,,,,,,Celebrity,0.16868584615384616
Dan-Sa / Daniel Saboya,19000000,189530.09413854353,287.8,BR,Performing arts,Music of Latin America,Music,Pop music,Hip hop music,Electronic music,,,,Celebrity,0.0015147368421052632
PDK Films,18900000,34940596.87096774,325707.44,US,Video game culture,Hobby,Lifestyle (sociology),,,,,,,Celebrity,1.7233197883597884
Vsauce,24200000,9963965.4645799,832040.5,,Hobby,Lifestyle (sociology),Knowledge,,,,,,,Celebrity,3.4381838842975205
DUDU e CAROL,33000000,4666367.22567856,28407.5,BR,Hobby,Lifestyle (sociology),Entertainment,,,,,,,Celebrity,0.08608333333333333
etvteluguindia,22600000,180017.01008798165,222.56,IN,Television program,Entertainment,Film,,,,,,,Celebrity,0.000984778761061947
RsiamMusic : อาร์สยาม,20000000,3555733.8102090685,516.14,,Pop music,Music,Music of Asia,,,,,,,Celebrity,0.0025807
Познаватель,20300000,19151593.336917564,45811.74,UA,Hobby,Lifestyle (sociology),,,,,,,,Celebrity,0.2256735960591133
7clouds,28800000,7866264.737870401,2696.74,US,Hip hop music,Electronic music,Pop music,Music,Independent music,,,,,Celebrity,0.009363680555555556
TheGrefg,19100000,1698203.8230277186,33625.88,ES,Lifestyle (sociology),,,,,,,,,Celebrity,0.17605172774869107
Sebastián Yatra,18700000,43626455.26829268,4439.0,,Music of Latin America,Pop music,Music,Lifestyle (sociology),,,,,,Celebrity,0.023737967914438503
JFlaMusic,17300000,10627658.991957104,6541.84,KR,Music of Asia,Pop music,Music,Lifestyle (sociology),Electronic music,,,,,Celebrity,0.037814104046242775
FactTechz,19000000,3296029.7654417516,208050.62,IN,Society,Knowledge,,,,,,,,Celebrity,1.0950032631578948
RobleisIUTU,19300000,3320520.457969432,42704.36,AR,Role-playing video game,Action game,Video game culture,Action-adventure game,,,,,,Celebrity,0.2212661139896373
Porta dos Fundos,18600000,2838039.4959481363,10554.04,BR,Film,Entertainment,Television program,,,,,,,Celebrity,0.05674215053763441
RKD Studios,26300000,5855524.523569023,2954.38,IN,Entertainment,Film,,,,,,,,Celebrity,0.01123338403041825
شبكة العاب العرب | Arab Games Network,23800000,1375195.8241271495,32958.9,SA,Simulation video game,Action game,Video game culture,Action-adventure game,Role-playing video game,,,,,Celebrity,0.1384827731092437
Triggered Insaan,24400000,13169504.051724138,515434.14,IN,Film,Entertainment,Lifestyle (sociology),,,,,,,Celebrity,2.112435
Willyrex,17200000,615399.0128972824,9045.12,ES,Action game,Role-playing video game,Video game culture,Action-adventure game,Casual game,Lifestyle (sociology),,,,Celebrity,0.052587906976744196
Sidemen,22400000,16902170.76849642,232656.7,GB,Sport,Boxing,Lifestyle (sociology),Entertainment,,,,,,Celebrity,1.038645982142857
Fede Vigevani,68100000,13744324.51523007,367609.74,MX,Entertainment,Lifestyle (sociology),,,,,,,,Celebrity,0.5398087224669603
EeOneGuy,16500000,10311644.826558266,182037.62,US,Lifestyle (sociology),,,,,,,,,Celebrity,1.103258303030303
Jason Derulo,41700000,4627496.745717345,561.7,,Lifestyle (sociology),Music,,,,,,,,Celebrity,0.0013470023980815349
SonyMusicSouthVEVO,22100000,3920148.6029320024,1850.22,,Film,Music of Asia,Music,Pop music,,,,,,Celebrity,0.008372036199095023
tanboy kun,20100000,4717413.527777778,23175.74,ID,Lifestyle (sociology),Food,,,,,,,,Celebrity,0.11530218905472636
Apple,20000000,5370790.692682927,24052.66,US,Lifestyle (sociology),Technology,,,,,,,,Celebrity,0.1202633
TheBrianMaps,18200000,9348373.356472796,371787.54,RU,Action-adventure game,Lifestyle (sociology),Video game culture,,,,,,,Celebrity,2.0427886813186813
Bizarrap,22600000,115125822.1111111,2224772.98,AR,Music of Latin America,Pop music,Hip hop music,Music,Electronic music,,,,,Celebrity,9.844128230088495
The Game Theorists,19600000,5682413.940656566,76721.28,US,Role-playing video game,Video game culture,Action-adventure game,Action game,,,,,,Celebrity,0.39143510204081633
VICE,19000000,1257625.0976917697,10117.06,US,Film,Entertainment,Society,Television program,,,,,,Celebrity,0.053247684210526315
TRANS TV Official,18400000,57541.41863032691,127.76,ID,Society,Religion,Television program,Entertainment,,,,,,Celebrity,0.0006943478260869565
Les' Copaque Production,24000000,5645163.732210526,2647.62,MY,Television program,Film,Entertainment,,,,,,,Celebrity,0.01103175
ExtraPolinesios,16300000,9139531.42,22982.34,,Entertainment,Lifestyle (sociology),,,,,,,,Celebrity,0.1409959509202454
FailArmy,17300000,5992117.467889909,11319.46,US,Entertainment,Lifestyle (sociology),Humour,Film,,,,,,Celebrity,0.06543040462427746
Ivana Alawi,19300000,7200819.454166667,130279.1,PH,Food,Lifestyle (sociology),,,,,,,,Celebrity,0.675021243523316
Boyce Avenue,16900000,11058727.738582676,3225.02,US,Pop music,Music,Christian music,,,,,,,Celebrity,0.019082958579881657
Alan's Universe,94400000,38549252.38900785,416562.9,US,Entertainment,,,,,,,,,Celebrity,0.4412742584745763
Pop Chartbusters,19800000,4190144.2658029054,6045.96,,Pop music,Entertainment,Music of Asia,Music,Television program,,,,,Celebrity,0.030535151515151515
DopeLyrics,15700000,38121959.35,98657.5,US,Electronic music,Pop music,Music,Independent music,,,,,,Celebrity,0.6283917197452229
Jennifer Lopez,17300000,26480273.206349205,3976.52,US,Entertainment,Electronic music,Pop music,Music,,,,,,Celebrity,0.022985664739884393
FunFun Toy Doll TV,17700000,10461678.29287599,5161.36,US,Lifestyle (sociology),Hobby,,,,,,,,Celebrity,0.02916022598870056
Aday Cáceres Reyes,31,952.0,6.1,,Independent music,Pop music,Music,Rock music,,,,,,Emerging,19.677419354838708
FitDance,16800000,1037463.6204280684,762.9,BR,Lifestyle (sociology),Pop music,Music of Latin America,Music,Hobby,Hip hop music,,,,Celebrity,0.004541071428571428
SriBalajiMovies,21800000,390388.21500988334,162.18,IN,Entertainment,Film,,,,,,,,Celebrity,0.0007439449541284404
Roman Atwood Vlogs,15200000,2873170.670618557,16477.54,US,Entertainment,Film,,,,,,,,Celebrity,0.10840486842105262
GMMTV OFFICIAL​​,19200000,542135.9434782609,3530.96,TH,Entertainment,Television program,Film,,,,,,,Celebrity,0.018390416666666666
News18 India,35100000,66272.94197393734,50.66,IN,No topic categories assigned,,,,,,,,,Celebrity,0.00014433048433048432
POPS Kids,19300000,3661188.7992710234,2685.62,VN,Television program,Film,Entertainment,,,,,,,Celebrity,0.013915129533678756
LEGO,20000000,572606.0409253079,85.72,GB,Lifestyle (sociology),Television program,Film,Entertainment,Hobby,,,,,Celebrity,0.0004286
SelenaGomezVEVO,14200000,59032868.18552036,377982.48,US,Music of Latin America,Electronic music,Music,Pop music,,,,,,Celebrity,2.6618484507042255
BBC News Hindi,20900000,306375.70210585167,406.34,,Society,Politics,,,,,,,,Celebrity,0.0019442105263157894
NDTV India,20000000,61430.30544203827,97.68,IN,Society,,,,,,,,,Celebrity,0.0004884
Sagawa /さがわ,37200000,3049191.997660224,5042.54,JP,Entertainment,Humour,Lifestyle (sociology),Film,,,,,,Celebrity,0.01355521505376344
TheRichest,14800000,1001817.4593806922,88.16,US,Entertainment,Film,,,,,,,,Celebrity,0.0005956756756756757
Talking Tom & Friends TV,16100000,8266233.392133492,76.62,US,Television program,Film,Entertainment,Humour,,,,,,Celebrity,0.0004759006211180124
Makiman131,16000000,1331592.5101321586,5280.9,ES,Entertainment,Lifestyle (sociology),,,,,,,,Celebrity,0.033005625
Linus Tech Tips,16400000,1196167.228384992,37272.28,CA,Lifestyle (sociology),Technology,,,,,,,,Celebrity,0.22727
Niana Guerrero,15800000,3271210.642,48994.0,PH,Lifestyle (sociology),Hobby,,,,,,,,Celebrity,0.3100886075949367
Mariale,15200000,647836.9082588336,559.14,US,Lifestyle (sociology),,,,,,,,,Celebrity,0.0036785526315789474
Дима Масленников  ,18900000,6546825.884279476,509877.98,US,Entertainment,Lifestyle (sociology),Film,,,,,,,Celebrity,2.69776708994709
TWICE,18200000,3573315.3464454976,25646.32,,Music of Asia,Entertainment,Television program,Music,,,,,,Celebrity,0.14091384615384617
Team Films Bhojpuri,16900000,339777.42964962265,863.3,IN,Music,Music of Asia,,,,,,,,Celebrity,0.005108284023668639
Bollywood Classics,21200000,4553548.738771769,108.42,,Film,Music,Music of Asia,Entertainment,,,,,,Celebrity,0.0005114150943396227
Pragati Verma Vlogs,24400000,9175176.340478154,129912.68,IN,Hobby,Lifestyle (sociology),Entertainment,,,,,,,Celebrity,0.5324290163934426
Unspeakable,18900000,10960635.692160612,22770.38,US,Film,Entertainment,Lifestyle (sociology),Humour,,,,,,Celebrity,0.12047820105820106
Zé Neto e Cristiano,15900000,26187547.394316163,3803.04,BR,Pop music,Music,Music of Latin America,,,,,,,Celebrity,0.023918490566037735
ERB,15000000,47219730.46666667,448786.72,US,Music,Hip hop music,Entertainment,,,,,,,Celebrity,2.9919114666666666
Kwebbelkop,15100000,1255881.8224282404,220.32,US,Lifestyle (sociology),Entertainment,Vehicle,,,,,,,Celebrity,0.0014590728476821192
Mobile Legends: Bang Bang,17100000,507493.81886700704,2259.06,US,Action game,Video game culture,Strategy video game,Role-playing video game,,,,,,Celebrity,0.013210877192982456
iTownGamePlay *Terror&Diversión*,15100000,540270.8856485836,2727.56,ES,Action game,Video game culture,Action-adventure game,Role-playing video game,,,,,,Celebrity,0.018063311258278144
Major Lazer Official,15000000,20369611.616895873,1997.2,US,Electronic music,Music,Pop music,Hip hop music,,,,,,Celebrity,0.013314666666666667
XpressTV,17200000,5999176.269360269,71700.94,MX,Entertainment,Lifestyle (sociology),Health,,,,,,,Celebrity,0.41686593023255814
